id,lig,ecm
ANGPT1:ALCAM,ANGPT1,ALCAM
ANGPT1:BCAN,ANGPT1,BCAN
ANGPT1:BGN,ANGPT1,BGN
ANGPT1:CD44,ANGPT1,CD44
ANGPT1:CDH1,ANGPT1,CDH1
ANGPT1:CDH15,ANGPT1,CDH15
ANGPT1:CDH20,ANGPT1,CDH20
ANGPT1:CDH3,ANGPT1,CDH3
ANGPT1:CDH6,ANGPT1,CDH6
ANGPT1:CDH8,ANGPT1,CDH8
ANGPT1:CEACAM6,ANGPT1,CEACAM6
ANGPT1:COL1,ANGPT1,COL1
ANGPT1:COL23A1,ANGPT1,COL23A1
ANGPT1:COL2A1,ANGPT1,COL2A1
ANGPT1:COL3A1,ANGPT1,COL3A1
ANGPT1:COL4A1,ANGPT1,COL4A1
ANGPT1:COL5A1,ANGPT1,COL5A1
ANGPT1:DCN,ANGPT1,DCN
ANGPT1:DSG2,ANGPT1,DSG2
ANGPT1:ECM1,ANGPT1,ECM1
ANGPT1:FN1,ANGPT1,FN1
ANGPT1:GAP43,ANGPT1,GAP43
ANGPT1:HA500M,ANGPT1,HA500M
ANGPT1:HA500P,ANGPT1,HA500P
ANGPT1:ICAM1,ANGPT1,ICAM1
ANGPT1:ITGA10B1,ANGPT1,ITGA10B1
ANGPT1:ITGA2B1,ANGPT1,ITGA2B1
ANGPT1:ITGA3B1,ANGPT1,ITGA3B1
ANGPT1:ITGA4B1,ANGPT1,ITGA4B1
ANGPT1:ITGA6B4,ANGPT1,ITGA6B4
ANGPT1:ITGA9B1,ANGPT1,ITGA9B1
ANGPT1:ITGAMB2,ANGPT1,ITGAMB2
ANGPT1:ITGAVB2,ANGPT1,ITGAVB2
ANGPT1:LAMA3,ANGPT1,LAMA3
ANGPT1:LAMB1,ANGPT1,LAMB1
ANGPT1:LUM,ANGPT1,LUM
ANGPT1:NID1,ANGPT1,NID1
ANGPT1:OMD,ANGPT1,OMD
ANGPT1:PECAM1,ANGPT1,PECAM1
ANGPT1:POSTN,ANGPT1,POSTN
ANGPT1:SPARC,ANGPT1,SPARC
ANGPT1:SPP1,ANGPT1,SPP1
ANGPT1:THBS1,ANGPT1,THBS1
ANGPT1:TNC,ANGPT1,TNC
ANGPT1:VCAM1,ANGPT1,VCAM1
ANGPT1:VTN,ANGPT1,VTN
ANGPT1:blank,ANGPT1,blank
ANGPT2:ALCAM,ANGPT2,ALCAM
ANGPT2:BCAN,ANGPT2,BCAN
ANGPT2:BGN,ANGPT2,BGN
ANGPT2:CD44,ANGPT2,CD44
ANGPT2:CDH1,ANGPT2,CDH1
ANGPT2:CDH15,ANGPT2,CDH15
ANGPT2:CDH20,ANGPT2,CDH20
ANGPT2:CDH3,ANGPT2,CDH3
ANGPT2:CDH6,ANGPT2,CDH6
ANGPT2:CDH8,ANGPT2,CDH8
ANGPT2:CEACAM6,ANGPT2,CEACAM6
ANGPT2:COL1,ANGPT2,COL1
ANGPT2:COL23A1,ANGPT2,COL23A1
ANGPT2:COL2A1,ANGPT2,COL2A1
ANGPT2:COL3A1,ANGPT2,COL3A1
ANGPT2:COL4A1,ANGPT2,COL4A1
ANGPT2:COL5A1,ANGPT2,COL5A1
ANGPT2:DCN,ANGPT2,DCN
ANGPT2:DSG2,ANGPT2,DSG2
ANGPT2:ECM1,ANGPT2,ECM1
ANGPT2:FN1,ANGPT2,FN1
ANGPT2:GAP43,ANGPT2,GAP43
ANGPT2:HA500M,ANGPT2,HA500M
ANGPT2:HA500P,ANGPT2,HA500P
ANGPT2:ICAM1,ANGPT2,ICAM1
ANGPT2:ITGA10B1,ANGPT2,ITGA10B1
ANGPT2:ITGA2B1,ANGPT2,ITGA2B1
ANGPT2:ITGA3B1,ANGPT2,ITGA3B1
ANGPT2:ITGA4B1,ANGPT2,ITGA4B1
ANGPT2:ITGA6B4,ANGPT2,ITGA6B4
ANGPT2:ITGA9B1,ANGPT2,ITGA9B1
ANGPT2:ITGAMB2,ANGPT2,ITGAMB2
ANGPT2:ITGAVB2,ANGPT2,ITGAVB2
ANGPT2:LAMA3,ANGPT2,LAMA3
ANGPT2:LAMB1,ANGPT2,LAMB1
ANGPT2:LUM,ANGPT2,LUM
ANGPT2:NID1,ANGPT2,NID1
ANGPT2:OMD,ANGPT2,OMD
ANGPT2:PECAM1,ANGPT2,PECAM1
ANGPT2:POSTN,ANGPT2,POSTN
ANGPT2:SPARC,ANGPT2,SPARC
ANGPT2:SPP1,ANGPT2,SPP1
ANGPT2:THBS1,ANGPT2,THBS1
ANGPT2:TNC,ANGPT2,TNC
ANGPT2:VCAM1,ANGPT2,VCAM1
ANGPT2:VTN,ANGPT2,VTN
ANGPT2:blank,ANGPT2,blank
AREG:ALCAM,AREG,ALCAM
AREG:BCAN,AREG,BCAN
AREG:BGN,AREG,BGN
AREG:CD44,AREG,CD44
AREG:CDH1,AREG,CDH1
AREG:CDH15,AREG,CDH15
AREG:CDH20,AREG,CDH20
AREG:CDH3,AREG,CDH3
AREG:CDH6,AREG,CDH6
AREG:CDH8,AREG,CDH8
AREG:CEACAM6,AREG,CEACAM6
AREG:COL1,AREG,COL1
AREG:COL23A1,AREG,COL23A1
AREG:COL2A1,AREG,COL2A1
AREG:COL3A1,AREG,COL3A1
AREG:COL4A1,AREG,COL4A1
AREG:COL5A1,AREG,COL5A1
AREG:DCN,AREG,DCN
AREG:DSG2,AREG,DSG2
AREG:ECM1,AREG,ECM1
AREG:FN1,AREG,FN1
AREG:GAP43,AREG,GAP43
AREG:HA500M,AREG,HA500M
AREG:HA500P,AREG,HA500P
AREG:ICAM1,AREG,ICAM1
AREG:ITGA10B1,AREG,ITGA10B1
AREG:ITGA2B1,AREG,ITGA2B1
AREG:ITGA3B1,AREG,ITGA3B1
AREG:ITGA4B1,AREG,ITGA4B1
AREG:ITGA6B4,AREG,ITGA6B4
AREG:ITGA9B1,AREG,ITGA9B1
AREG:ITGAMB2,AREG,ITGAMB2
AREG:ITGAVB2,AREG,ITGAVB2
AREG:LAMA3,AREG,LAMA3
AREG:LAMB1,AREG,LAMB1
AREG:LUM,AREG,LUM
AREG:NID1,AREG,NID1
AREG:OMD,AREG,OMD
AREG:PECAM1,AREG,PECAM1
AREG:POSTN,AREG,POSTN
AREG:SPARC,AREG,SPARC
AREG:SPP1,AREG,SPP1
AREG:THBS1,AREG,THBS1
AREG:TNC,AREG,TNC
AREG:VCAM1,AREG,VCAM1
AREG:VTN,AREG,VTN
AREG:blank,AREG,blank
BMP2:ALCAM,BMP2,ALCAM
BMP2:BCAN,BMP2,BCAN
BMP2:BGN,BMP2,BGN
BMP2:CD44,BMP2,CD44
BMP2:CDH1,BMP2,CDH1
BMP2:CDH15,BMP2,CDH15
BMP2:CDH20,BMP2,CDH20
BMP2:CDH3,BMP2,CDH3
BMP2:CDH6,BMP2,CDH6
BMP2:CDH8,BMP2,CDH8
BMP2:CEACAM6,BMP2,CEACAM6
BMP2:COL1,BMP2,COL1
BMP2:COL23A1,BMP2,COL23A1
BMP2:COL2A1,BMP2,COL2A1
BMP2:COL3A1,BMP2,COL3A1
BMP2:COL4A1,BMP2,COL4A1
BMP2:COL5A1,BMP2,COL5A1
BMP2:DCN,BMP2,DCN
BMP2:DSG2,BMP2,DSG2
BMP2:ECM1,BMP2,ECM1
BMP2:FN1,BMP2,FN1
BMP2:GAP43,BMP2,GAP43
BMP2:HA500M,BMP2,HA500M
BMP2:HA500P,BMP2,HA500P
BMP2:ICAM1,BMP2,ICAM1
BMP2:ITGA10B1,BMP2,ITGA10B1
BMP2:ITGA2B1,BMP2,ITGA2B1
BMP2:ITGA3B1,BMP2,ITGA3B1
BMP2:ITGA4B1,BMP2,ITGA4B1
BMP2:ITGA6B4,BMP2,ITGA6B4
BMP2:ITGA9B1,BMP2,ITGA9B1
BMP2:ITGAMB2,BMP2,ITGAMB2
BMP2:ITGAVB2,BMP2,ITGAVB2
BMP2:LAMA3,BMP2,LAMA3
BMP2:LAMB1,BMP2,LAMB1
BMP2:LUM,BMP2,LUM
BMP2:NID1,BMP2,NID1
BMP2:OMD,BMP2,OMD
BMP2:PECAM1,BMP2,PECAM1
BMP2:POSTN,BMP2,POSTN
BMP2:SPARC,BMP2,SPARC
BMP2:SPP1,BMP2,SPP1
BMP2:THBS1,BMP2,THBS1
BMP2:TNC,BMP2,TNC
BMP2:VCAM1,BMP2,VCAM1
BMP2:VTN,BMP2,VTN
BMP2:blank,BMP2,blank
BMP3:ALCAM,BMP3,ALCAM
BMP3:BCAN,BMP3,BCAN
BMP3:BGN,BMP3,BGN
BMP3:CD44,BMP3,CD44
BMP3:CDH1,BMP3,CDH1
BMP3:CDH15,BMP3,CDH15
BMP3:CDH20,BMP3,CDH20
BMP3:CDH3,BMP3,CDH3
BMP3:CDH6,BMP3,CDH6
BMP3:CDH8,BMP3,CDH8
BMP3:CEACAM6,BMP3,CEACAM6
BMP3:COL1,BMP3,COL1
BMP3:COL23A1,BMP3,COL23A1
BMP3:COL2A1,BMP3,COL2A1
BMP3:COL3A1,BMP3,COL3A1
BMP3:COL4A1,BMP3,COL4A1
BMP3:COL5A1,BMP3,COL5A1
BMP3:DCN,BMP3,DCN
BMP3:DSG2,BMP3,DSG2
BMP3:ECM1,BMP3,ECM1
BMP3:FN1,BMP3,FN1
BMP3:GAP43,BMP3,GAP43
BMP3:HA500M,BMP3,HA500M
BMP3:HA500P,BMP3,HA500P
BMP3:ICAM1,BMP3,ICAM1
BMP3:ITGA10B1,BMP3,ITGA10B1
BMP3:ITGA2B1,BMP3,ITGA2B1
BMP3:ITGA3B1,BMP3,ITGA3B1
BMP3:ITGA4B1,BMP3,ITGA4B1
BMP3:ITGA6B4,BMP3,ITGA6B4
BMP3:ITGA9B1,BMP3,ITGA9B1
BMP3:ITGAMB2,BMP3,ITGAMB2
BMP3:ITGAVB2,BMP3,ITGAVB2
BMP3:LAMA3,BMP3,LAMA3
BMP3:LAMB1,BMP3,LAMB1
BMP3:LUM,BMP3,LUM
BMP3:NID1,BMP3,NID1
BMP3:OMD,BMP3,OMD
BMP3:PECAM1,BMP3,PECAM1
BMP3:POSTN,BMP3,POSTN
BMP3:SPARC,BMP3,SPARC
BMP3:SPP1,BMP3,SPP1
BMP3:THBS1,BMP3,THBS1
BMP3:TNC,BMP3,TNC
BMP3:VCAM1,BMP3,VCAM1
BMP3:VTN,BMP3,VTN
BMP3:blank,BMP3,blank
BMP4:ALCAM,BMP4,ALCAM
BMP4:BCAN,BMP4,BCAN
BMP4:BGN,BMP4,BGN
BMP4:CD44,BMP4,CD44
BMP4:CDH1,BMP4,CDH1
BMP4:CDH15,BMP4,CDH15
BMP4:CDH20,BMP4,CDH20
BMP4:CDH3,BMP4,CDH3
BMP4:CDH6,BMP4,CDH6
BMP4:CDH8,BMP4,CDH8
BMP4:CEACAM6,BMP4,CEACAM6
BMP4:COL1,BMP4,COL1
BMP4:COL23A1,BMP4,COL23A1
BMP4:COL2A1,BMP4,COL2A1
BMP4:COL3A1,BMP4,COL3A1
BMP4:COL4A1,BMP4,COL4A1
BMP4:COL5A1,BMP4,COL5A1
BMP4:DCN,BMP4,DCN
BMP4:DSG2,BMP4,DSG2
BMP4:ECM1,BMP4,ECM1
BMP4:FN1,BMP4,FN1
BMP4:GAP43,BMP4,GAP43
BMP4:HA500M,BMP4,HA500M
BMP4:HA500P,BMP4,HA500P
BMP4:ICAM1,BMP4,ICAM1
BMP4:ITGA10B1,BMP4,ITGA10B1
BMP4:ITGA2B1,BMP4,ITGA2B1
BMP4:ITGA3B1,BMP4,ITGA3B1
BMP4:ITGA4B1,BMP4,ITGA4B1
BMP4:ITGA6B4,BMP4,ITGA6B4
BMP4:ITGA9B1,BMP4,ITGA9B1
BMP4:ITGAMB2,BMP4,ITGAMB2
BMP4:ITGAVB2,BMP4,ITGAVB2
BMP4:LAMA3,BMP4,LAMA3
BMP4:LAMB1,BMP4,LAMB1
BMP4:LUM,BMP4,LUM
BMP4:NID1,BMP4,NID1
BMP4:OMD,BMP4,OMD
BMP4:PECAM1,BMP4,PECAM1
BMP4:POSTN,BMP4,POSTN
BMP4:SPARC,BMP4,SPARC
BMP4:SPP1,BMP4,SPP1
BMP4:THBS1,BMP4,THBS1
BMP4:TNC,BMP4,TNC
BMP4:VCAM1,BMP4,VCAM1
BMP4:VTN,BMP4,VTN
BMP4:blank,BMP4,blank
BMP5:ALCAM,BMP5,ALCAM
BMP5:BCAN,BMP5,BCAN
BMP5:BGN,BMP5,BGN
BMP5:CD44,BMP5,CD44
BMP5:CDH1,BMP5,CDH1
BMP5:CDH15,BMP5,CDH15
BMP5:CDH20,BMP5,CDH20
BMP5:CDH3,BMP5,CDH3
BMP5:CDH6,BMP5,CDH6
BMP5:CDH8,BMP5,CDH8
BMP5:CEACAM6,BMP5,CEACAM6
BMP5:COL1,BMP5,COL1
BMP5:COL23A1,BMP5,COL23A1
BMP5:COL2A1,BMP5,COL2A1
BMP5:COL3A1,BMP5,COL3A1
BMP5:COL4A1,BMP5,COL4A1
BMP5:COL5A1,BMP5,COL5A1
BMP5:DCN,BMP5,DCN
BMP5:DSG2,BMP5,DSG2
BMP5:ECM1,BMP5,ECM1
BMP5:FN1,BMP5,FN1
BMP5:GAP43,BMP5,GAP43
BMP5:HA500M,BMP5,HA500M
BMP5:HA500P,BMP5,HA500P
BMP5:ICAM1,BMP5,ICAM1
BMP5:ITGA10B1,BMP5,ITGA10B1
BMP5:ITGA2B1,BMP5,ITGA2B1
BMP5:ITGA3B1,BMP5,ITGA3B1
BMP5:ITGA4B1,BMP5,ITGA4B1
BMP5:ITGA6B4,BMP5,ITGA6B4
BMP5:ITGA9B1,BMP5,ITGA9B1
BMP5:ITGAMB2,BMP5,ITGAMB2
BMP5:ITGAVB2,BMP5,ITGAVB2
BMP5:LAMA3,BMP5,LAMA3
BMP5:LAMB1,BMP5,LAMB1
BMP5:LUM,BMP5,LUM
BMP5:NID1,BMP5,NID1
BMP5:OMD,BMP5,OMD
BMP5:PECAM1,BMP5,PECAM1
BMP5:POSTN,BMP5,POSTN
BMP5:SPARC,BMP5,SPARC
BMP5:SPP1,BMP5,SPP1
BMP5:THBS1,BMP5,THBS1
BMP5:TNC,BMP5,TNC
BMP5:VCAM1,BMP5,VCAM1
BMP5:VTN,BMP5,VTN
BMP5:blank,BMP5,blank
BMP6:ALCAM,BMP6,ALCAM
BMP6:BCAN,BMP6,BCAN
BMP6:BGN,BMP6,BGN
BMP6:CD44,BMP6,CD44
BMP6:CDH1,BMP6,CDH1
BMP6:CDH15,BMP6,CDH15
BMP6:CDH20,BMP6,CDH20
BMP6:CDH3,BMP6,CDH3
BMP6:CDH6,BMP6,CDH6
BMP6:CDH8,BMP6,CDH8
BMP6:CEACAM6,BMP6,CEACAM6
BMP6:COL1,BMP6,COL1
BMP6:COL23A1,BMP6,COL23A1
BMP6:COL2A1,BMP6,COL2A1
BMP6:COL3A1,BMP6,COL3A1
BMP6:COL4A1,BMP6,COL4A1
BMP6:COL5A1,BMP6,COL5A1
BMP6:DCN,BMP6,DCN
BMP6:DSG2,BMP6,DSG2
BMP6:ECM1,BMP6,ECM1
BMP6:FN1,BMP6,FN1
BMP6:GAP43,BMP6,GAP43
BMP6:HA500M,BMP6,HA500M
BMP6:HA500P,BMP6,HA500P
BMP6:ICAM1,BMP6,ICAM1
BMP6:ITGA10B1,BMP6,ITGA10B1
BMP6:ITGA2B1,BMP6,ITGA2B1
BMP6:ITGA3B1,BMP6,ITGA3B1
BMP6:ITGA4B1,BMP6,ITGA4B1
BMP6:ITGA6B4,BMP6,ITGA6B4
BMP6:ITGA9B1,BMP6,ITGA9B1
BMP6:ITGAMB2,BMP6,ITGAMB2
BMP6:ITGAVB2,BMP6,ITGAVB2
BMP6:LAMA3,BMP6,LAMA3
BMP6:LAMB1,BMP6,LAMB1
BMP6:LUM,BMP6,LUM
BMP6:NID1,BMP6,NID1
BMP6:OMD,BMP6,OMD
BMP6:PECAM1,BMP6,PECAM1
BMP6:POSTN,BMP6,POSTN
BMP6:SPARC,BMP6,SPARC
BMP6:SPP1,BMP6,SPP1
BMP6:THBS1,BMP6,THBS1
BMP6:TNC,BMP6,TNC
BMP6:VCAM1,BMP6,VCAM1
BMP6:VTN,BMP6,VTN
BMP6:blank,BMP6,blank
BMP7:ALCAM,BMP7,ALCAM
BMP7:BCAN,BMP7,BCAN
BMP7:BGN,BMP7,BGN
BMP7:CD44,BMP7,CD44
BMP7:CDH1,BMP7,CDH1
BMP7:CDH15,BMP7,CDH15
BMP7:CDH20,BMP7,CDH20
BMP7:CDH3,BMP7,CDH3
BMP7:CDH6,BMP7,CDH6
BMP7:CDH8,BMP7,CDH8
BMP7:CEACAM6,BMP7,CEACAM6
BMP7:COL1,BMP7,COL1
BMP7:COL23A1,BMP7,COL23A1
BMP7:COL2A1,BMP7,COL2A1
BMP7:COL3A1,BMP7,COL3A1
BMP7:COL4A1,BMP7,COL4A1
BMP7:COL5A1,BMP7,COL5A1
BMP7:DCN,BMP7,DCN
BMP7:DSG2,BMP7,DSG2
BMP7:ECM1,BMP7,ECM1
BMP7:FN1,BMP7,FN1
BMP7:GAP43,BMP7,GAP43
BMP7:HA500M,BMP7,HA500M
BMP7:HA500P,BMP7,HA500P
BMP7:ICAM1,BMP7,ICAM1
BMP7:ITGA10B1,BMP7,ITGA10B1
BMP7:ITGA2B1,BMP7,ITGA2B1
BMP7:ITGA3B1,BMP7,ITGA3B1
BMP7:ITGA4B1,BMP7,ITGA4B1
BMP7:ITGA6B4,BMP7,ITGA6B4
BMP7:ITGA9B1,BMP7,ITGA9B1
BMP7:ITGAMB2,BMP7,ITGAMB2
BMP7:ITGAVB2,BMP7,ITGAVB2
BMP7:LAMA3,BMP7,LAMA3
BMP7:LAMB1,BMP7,LAMB1
BMP7:LUM,BMP7,LUM
BMP7:NID1,BMP7,NID1
BMP7:OMD,BMP7,OMD
BMP7:PECAM1,BMP7,PECAM1
BMP7:POSTN,BMP7,POSTN
BMP7:SPARC,BMP7,SPARC
BMP7:SPP1,BMP7,SPP1
BMP7:THBS1,BMP7,THBS1
BMP7:TNC,BMP7,TNC
BMP7:VCAM1,BMP7,VCAM1
BMP7:VTN,BMP7,VTN
BMP7:blank,BMP7,blank
CSF2:ALCAM,CSF2,ALCAM
CSF2:BCAN,CSF2,BCAN
CSF2:BGN,CSF2,BGN
CSF2:CD44,CSF2,CD44
CSF2:CDH1,CSF2,CDH1
CSF2:CDH15,CSF2,CDH15
CSF2:CDH20,CSF2,CDH20
CSF2:CDH3,CSF2,CDH3
CSF2:CDH6,CSF2,CDH6
CSF2:CDH8,CSF2,CDH8
CSF2:CEACAM6,CSF2,CEACAM6
CSF2:COL1,CSF2,COL1
CSF2:COL23A1,CSF2,COL23A1
CSF2:COL2A1,CSF2,COL2A1
CSF2:COL3A1,CSF2,COL3A1
CSF2:COL4A1,CSF2,COL4A1
CSF2:COL5A1,CSF2,COL5A1
CSF2:DCN,CSF2,DCN
CSF2:DSG2,CSF2,DSG2
CSF2:ECM1,CSF2,ECM1
CSF2:FN1,CSF2,FN1
CSF2:GAP43,CSF2,GAP43
CSF2:HA500M,CSF2,HA500M
CSF2:HA500P,CSF2,HA500P
CSF2:ICAM1,CSF2,ICAM1
CSF2:ITGA10B1,CSF2,ITGA10B1
CSF2:ITGA2B1,CSF2,ITGA2B1
CSF2:ITGA3B1,CSF2,ITGA3B1
CSF2:ITGA4B1,CSF2,ITGA4B1
CSF2:ITGA6B4,CSF2,ITGA6B4
CSF2:ITGA9B1,CSF2,ITGA9B1
CSF2:ITGAMB2,CSF2,ITGAMB2
CSF2:ITGAVB2,CSF2,ITGAVB2
CSF2:LAMA3,CSF2,LAMA3
CSF2:LAMB1,CSF2,LAMB1
CSF2:LUM,CSF2,LUM
CSF2:NID1,CSF2,NID1
CSF2:OMD,CSF2,OMD
CSF2:PECAM1,CSF2,PECAM1
CSF2:POSTN,CSF2,POSTN
CSF2:SPARC,CSF2,SPARC
CSF2:SPP1,CSF2,SPP1
CSF2:THBS1,CSF2,THBS1
CSF2:TNC,CSF2,TNC
CSF2:VCAM1,CSF2,VCAM1
CSF2:VTN,CSF2,VTN
CSF2:blank,CSF2,blank
CTGF:ALCAM,CTGF,ALCAM
CTGF:BCAN,CTGF,BCAN
CTGF:BGN,CTGF,BGN
CTGF:CD44,CTGF,CD44
CTGF:CDH1,CTGF,CDH1
CTGF:CDH15,CTGF,CDH15
CTGF:CDH20,CTGF,CDH20
CTGF:CDH3,CTGF,CDH3
CTGF:CDH6,CTGF,CDH6
CTGF:CDH8,CTGF,CDH8
CTGF:CEACAM6,CTGF,CEACAM6
CTGF:COL1,CTGF,COL1
CTGF:COL23A1,CTGF,COL23A1
CTGF:COL2A1,CTGF,COL2A1
CTGF:COL3A1,CTGF,COL3A1
CTGF:COL4A1,CTGF,COL4A1
CTGF:COL5A1,CTGF,COL5A1
CTGF:DCN,CTGF,DCN
CTGF:DSG2,CTGF,DSG2
CTGF:ECM1,CTGF,ECM1
CTGF:FN1,CTGF,FN1
CTGF:GAP43,CTGF,GAP43
CTGF:HA500M,CTGF,HA500M
CTGF:HA500P,CTGF,HA500P
CTGF:ICAM1,CTGF,ICAM1
CTGF:ITGA10B1,CTGF,ITGA10B1
CTGF:ITGA2B1,CTGF,ITGA2B1
CTGF:ITGA3B1,CTGF,ITGA3B1
CTGF:ITGA4B1,CTGF,ITGA4B1
CTGF:ITGA6B4,CTGF,ITGA6B4
CTGF:ITGA9B1,CTGF,ITGA9B1
CTGF:ITGAMB2,CTGF,ITGAMB2
CTGF:ITGAVB2,CTGF,ITGAVB2
CTGF:LAMA3,CTGF,LAMA3
CTGF:LAMB1,CTGF,LAMB1
CTGF:LUM,CTGF,LUM
CTGF:NID1,CTGF,NID1
CTGF:OMD,CTGF,OMD
CTGF:PECAM1,CTGF,PECAM1
CTGF:POSTN,CTGF,POSTN
CTGF:SPARC,CTGF,SPARC
CTGF:SPP1,CTGF,SPP1
CTGF:THBS1,CTGF,THBS1
CTGF:TNC,CTGF,TNC
CTGF:VCAM1,CTGF,VCAM1
CTGF:VTN,CTGF,VTN
CTGF:blank,CTGF,blank
CXCL1:ALCAM,CXCL1,ALCAM
CXCL1:BCAN,CXCL1,BCAN
CXCL1:BGN,CXCL1,BGN
CXCL1:CD44,CXCL1,CD44
CXCL1:CDH1,CXCL1,CDH1
CXCL1:CDH15,CXCL1,CDH15
CXCL1:CDH20,CXCL1,CDH20
CXCL1:CDH3,CXCL1,CDH3
CXCL1:CDH6,CXCL1,CDH6
CXCL1:CDH8,CXCL1,CDH8
CXCL1:CEACAM6,CXCL1,CEACAM6
CXCL1:COL1,CXCL1,COL1
CXCL1:COL23A1,CXCL1,COL23A1
CXCL1:COL2A1,CXCL1,COL2A1
CXCL1:COL3A1,CXCL1,COL3A1
CXCL1:COL4A1,CXCL1,COL4A1
CXCL1:COL5A1,CXCL1,COL5A1
CXCL1:DCN,CXCL1,DCN
CXCL1:DSG2,CXCL1,DSG2
CXCL1:ECM1,CXCL1,ECM1
CXCL1:FN1,CXCL1,FN1
CXCL1:GAP43,CXCL1,GAP43
CXCL1:HA500M,CXCL1,HA500M
CXCL1:HA500P,CXCL1,HA500P
CXCL1:ICAM1,CXCL1,ICAM1
CXCL1:ITGA10B1,CXCL1,ITGA10B1
CXCL1:ITGA2B1,CXCL1,ITGA2B1
CXCL1:ITGA3B1,CXCL1,ITGA3B1
CXCL1:ITGA4B1,CXCL1,ITGA4B1
CXCL1:ITGA6B4,CXCL1,ITGA6B4
CXCL1:ITGA9B1,CXCL1,ITGA9B1
CXCL1:ITGAMB2,CXCL1,ITGAMB2
CXCL1:ITGAVB2,CXCL1,ITGAVB2
CXCL1:LAMA3,CXCL1,LAMA3
CXCL1:LAMB1,CXCL1,LAMB1
CXCL1:LUM,CXCL1,LUM
CXCL1:NID1,CXCL1,NID1
CXCL1:OMD,CXCL1,OMD
CXCL1:PECAM1,CXCL1,PECAM1
CXCL1:POSTN,CXCL1,POSTN
CXCL1:SPARC,CXCL1,SPARC
CXCL1:SPP1,CXCL1,SPP1
CXCL1:THBS1,CXCL1,THBS1
CXCL1:TNC,CXCL1,TNC
CXCL1:VCAM1,CXCL1,VCAM1
CXCL1:VTN,CXCL1,VTN
CXCL1:blank,CXCL1,blank
CXCL12_350NS010CF:ALCAM,CXCL12_350NS010CF,ALCAM
CXCL12_350NS010CF:BCAN,CXCL12_350NS010CF,BCAN
CXCL12_350NS010CF:BGN,CXCL12_350NS010CF,BGN
CXCL12_350NS010CF:CD44,CXCL12_350NS010CF,CD44
CXCL12_350NS010CF:CDH1,CXCL12_350NS010CF,CDH1
CXCL12_350NS010CF:CDH15,CXCL12_350NS010CF,CDH15
CXCL12_350NS010CF:CDH20,CXCL12_350NS010CF,CDH20
CXCL12_350NS010CF:CDH3,CXCL12_350NS010CF,CDH3
CXCL12_350NS010CF:CDH6,CXCL12_350NS010CF,CDH6
CXCL12_350NS010CF:CDH8,CXCL12_350NS010CF,CDH8
CXCL12_350NS010CF:CEACAM6,CXCL12_350NS010CF,CEACAM6
CXCL12_350NS010CF:COL1,CXCL12_350NS010CF,COL1
CXCL12_350NS010CF:COL23A1,CXCL12_350NS010CF,COL23A1
CXCL12_350NS010CF:COL2A1,CXCL12_350NS010CF,COL2A1
